<<<<<<< HEAD
이름,성별,연령대,자기 소개,모국어,외국어,외국어 수준
Teodora,Male,5,지리학,korean,arabic,3
Koralynn,Male,26,바둑,spanish,english,1
Ryin,Female,41,필라테스,spanish,korean,3
Gizele,Female,47,패러글라이딩,english,chinese,2
Jahnvi,Female,28,메탈 음악 감상,japanese,arabic,3
Kimberli,Male,65,배드민턴,spanish,chinese,2
Tymere,Male,42,투자 및 주식,japanese,english,3
Trelynn,Male,51,환경 보호 활동,korean,english,3
Nazariyah,Male,28,블록체인,korean,arabic,2
Neomi,Male,24,영화 감상,french,korean,1
Brighid,Male,6,다이빙,spanish,japanese,1
Johnthomas,Female,22,보안 연구,korean,english,3
Meher,Female,63,로프 클라이밍,english,french,1
Zaliyah,Female,51,모터스포츠,chinese,spanish,3
Fatemah,Male,52,패러글라이딩,korean,english,2
Delylah,Female,9,코인 수집,chinese,arabic,3
Aerionna,Male,55,언어 교환,spanish,french,2
Zyaira,Female,51,기타 연주,english,spanish,2
Dalayla,Male,79,개인 금융 관리,chinese,english,3
Armad,Male,36,영화 감상,english,japanese,3
Khloemae,Male,25,차 시음,chinese,japanese,3
Benhur,Female,26,팝 음악 감상,french,chinese,1
Jency,Male,34,지속 가능한 생활,korean,arabic,3
Marilin,Female,31,오페라 감상,english,chinese,3
Kuzey,Female,57,카약,japanese,arabic,1
Creek,Male,6,명상,english,korean,1
Makaih,Female,48,축구 응원,arabic,french,3
Nicolis,Male,69,시 쓰기,french,arabic,3
Nuno,Male,33,농구 응원,english,french,1
Analena,Male,27,산악 자전거,chinese,english,2
Nayleen,Male,30,동물 보호 활동,english,arabic,1
Arlene,Female,23,화초 돌보기,korean,english,1
Hadara,Male,37,피아노 연주,chinese,arabic,2
Angelika,Male,41,비건 생활,chinese,french,3
Veda,Male,34,언어 교환,korean,french,3
Lashaun,Male,33,연극 보기,spanish,japanese,2
Jazaria,Female,35,암벽 등반,english,japanese,2
Amoura,Female,42,암호화폐,french,arabic,2
Musashi,Female,73,암벽 등반,korean,spanish,1
Betzalel,Male,38,R&B 음악 감상,french,english,3
Tobey,Female,20,인테리어 디자인,french,arabic,1
Esther,Female,32,비건 생활,chinese,spanish,3
Kaydn,Female,31,DIY 프로젝트,arabic,french,2
Kasiya,Male,42,지리학,japanese,korean,2
Elvina,Female,59,카누,english,french,3
Airiana,Female,40,번지점프,english,spanish,2
Daileen,Female,22,보안 연구,french,chinese,1
Maci,Female,37,환경 보호 활동,japanese,spanish,2
Ry,Female,35,동물 돌보기,english,japanese,3
Chadrick,Female,51,스쿠버 다이빙,japanese,spanish,2
Samirah,Male,32,커피 추출,french,spanish,1
Dontae,Male,56,언어 교환,chinese,spanish,1
Jhourni,Female,78,개인 금융 관리,spanish,japanese,3
Sebastiano,Male,56,마라톤,english,chinese,1
Kade,Male,21,요리 클래스 참가,spanish,chinese,2
Giada,Male,42,천문학,english,japanese,2
Rocco,Female,47,배드민턴,arabic,japanese,3
Oliver,Female,47,재즈 음악 감상,chinese,korean,2
Dubraska,Male,5,필라테스,japanese,french,3
Aislynn,Female,20,오페라 감상,arabic,french,2
Aowyn,Female,6,팝 음악 감상,japanese,chinese,3
Lira,Female,56,암호화폐,french,arabic,1
Jabria,Female,62,연극 보기,korean,japanese,3
Debora,Male,26,스노우보드,french,english,1
Aspyn,Male,32,쇼핑,french,spanish,3
Tabari,Female,42,배드민턴,japanese,french,1
Lailoni,Male,6,여행,french,english,2
Ceazia,Male,49,메이커 운동,chinese,spanish,3
Raylan,Male,32,드론 조종,english,french,3
Briahnna,Male,48,쇼핑,chinese,japanese,3
Estiven,Female,59,바둑,english,chinese,3
Delon,Female,47,필라테스,spanish,japanese,1
Anajia,Male,47,환경 보호 활동,french,english,3
Joab,Male,40,인테리어 디자인,japanese,english,1
Haelyn,Male,29,암호화폐,chinese,japanese,3
Eshal,Male,59,해킹,korean,arabic,3
Makenly,Female,39,미술 클래스 참가,japanese,spanish,3
Samiyah,Female,60,만화 보기,french,arabic,1
Dominik,Female,36,춤추기,french,spanish,3
Lilikoi,Female,5,메이커 운동,french,japanese,3
Ahlanna,Female,57,비건 생활,arabic,chinese,3
Chole,Female,5,제로 웨이스트 라이프스타일,japanese,english,3
Sherod,Male,23,베이킹,arabic,spanish,2
Febe,Male,41,R&B 음악 감상,korean,french,3
Syniah,Female,75,농구 응원,french,chinese,3
Angeliza,Female,58,시 쓰기,spanish,arabic,3
Emmy,Female,51,언어 교환,arabic,korean,2
Quayvon,Female,42,보안 연구,japanese,spanish,1
Marcia,Male,35,BMX,japanese,spanish,1
Naoki,Male,22,보드게임,spanish,english,1
Emilyann,Female,25,스케이트보드,english,spanish,2
Zhanae,Male,21,비건 생활,chinese,korean,2
Lexington,Male,27,제로 웨이스트 라이프스타일,korean,french,3
Anjeli,Female,40,보안 연구,chinese,arabic,2
Karysa,Male,58,미니멀리즘,spanish,chinese,2
Papa,Female,27,체스,french,english,3
Preslei,Male,7,제로 웨이스트 라이프스타일,spanish,english,2
Obeth,Female,39,요가,spanish,english,1
Zaia,Male,51,요가,japanese,spanish,3
Chloeann,Female,28,사진 찍기,japanese,chinese,2
Frady,Male,29,3D 프린팅,korean,french,1
Gift,Female,57,가상 현실,japanese,arabic,2
Amala,Female,28,팝 음악 감상,english,chinese,3
Terrez,Male,47,모터스포츠,english,arabic,1
Zac,Male,57,블록체인,english,arabic,2
Jaelen,Male,73,사진 찍기,arabic,french,1
Theadora,Female,8,빈티지 수집,japanese,arabic,3
Daya,Female,73,등산,english,chinese,1
