이름,성별,연령대,자기 소개,모국어,외국어,외국어 수준
Aadam,Male,6,지리학,korean,arabic,3
Aadan,Male,27,바둑,spanish,english,1
Aaden,Female,41,필라테스,spanish,korean,3
Aadhav,Female,41,패러글라이딩,english,chinese,2
Aadhavan,Female,20,메탈 음악 감상,japanese,arabic,3
Aadhya,Male,72,배드민턴,spanish,chinese,2
Aadi,Male,49,투자 및 주식,japanese,english,3
Aadil,Male,56,환경 보호 활동,korean,english,3
Aadin,Male,22,블록체인,korean,arabic,2
Aadit,Male,26,영화 감상,french,korean,1
Aaditri,Male,9,다이빙,spanish,japanese,1
Aaditya,Female,24,보안 연구,korean,english,3
Aadya,Female,72,로프 클라이밍,english,french,1
Aadyn,Female,52,모터스포츠,chinese,spanish,2
Aahan,Male,56,패러글라이딩,korean,english,2
Aahana,Female,5,코인 수집,chinese,arabic,3
Aahil,Male,54,언어 교환,spanish,french,2
Aahna,Female,50,기타 연주,english,spanish,2
Aaidan,Male,73,개인 금융 관리,chinese,english,3
Aaiden,Male,35,영화 감상,english,japanese,3
Aailyah,Male,28,차 시음,chinese,japanese,3
Aaira,Female,23,팝 음악 감상,french,chinese,1
Aaisha,Male,37,지속 가능한 생활,korean,arabic,3
Aaishah,Female,34,오페라 감상,english,chinese,3
Aakarsh,Female,55,카약,japanese,arabic,1
Aakash,Male,6,명상,english,korean,1
Aala,Female,45,축구 응원,arabic,french,3
Aalaya,Male,71,시 쓰기,french,arabic,3
Aalayah,Male,35,농구 응원,english,french,1
Aalaysia,Male,23,산악 자전거,chinese,english,2
Aaleah,Male,39,동물 보호 활동,english,arabic,1
Aaleigha,Female,29,화초 돌보기,korean,english,1
Aaleyah,Male,34,피아노 연주,chinese,arabic,2
Aalia,Male,49,비건 생활,chinese,french,3
Aaliah,Male,34,언어 교환,korean,french,3
Aaliayah,Male,31,연극 보기,spanish,japanese,2
Aalijah,Female,35,암벽 등반,english,japanese,2
Aalina,Female,48,암호화폐,french,arabic,2
Aalivia,Female,79,암벽 등반,korean,spanish,1
Aaliya,Male,33,R&B 음악 감상,french,english,3
Aaliyah,Female,27,인테리어 디자인,french,arabic,1
Aaliyah,Female,37,비건 생활,chinese,spanish,2
Aaliyan,Female,33,DIY 프로젝트,arabic,french,2
Aaliyana,Male,49,지리학,japanese,korean,2
Aaliyha,Female,51,카누,english,french,3
Aaliyiah,Female,48,번지점프,english,spanish,2
Aalliyah,Female,25,보안 연구,french,chinese,1
Aalya,Female,31,환경 보호 활동,japanese,spanish,2
Aalyah,Female,39,동물 돌보기,english,japanese,3
Aalyiah,Female,51,스쿠버 다이빙,japanese,spanish,2
Aalyssa,Male,35,커피 추출,french,spanish,1
Aamani,Male,53,언어 교환,chinese,spanish,1
Aamari,Female,77,개인 금융 관리,spanish,japanese,3
Aamari,Male,53,마라톤,english,chinese,1
Aamarion,Male,23,요리 클래스 참가,spanish,chinese,2
Aamina,Male,46,천문학,english,japanese,2
Aaminah,Female,48,배드민턴,arabic,japanese,3
Aamir,Female,48,재즈 음악 감상,chinese,korean,2
Aamira,Male,5,필라테스,japanese,french,3
Aamirah,Female,27,오페라 감상,arabic,french,2
Aamiyah,Female,9,팝 음악 감상,japanese,chinese,3
Aamna,Female,55,암호화폐,french,arabic,1
Aamoni,Female,66,연극 보기,korean,japanese,3
Aamori,Male,21,스노우보드,french,english,1
Aamya,Male,37,쇼핑,french,spanish,3
Aamyah,Female,42,배드민턴,japanese,french,1
Aanika,Male,9,여행,french,english,2
Aaniya,Male,41,메이커 운동,chinese,spanish,3
Aaniyah,Male,39,드론 조종,english,french,3
Aanvi,Male,49,쇼핑,chinese,japanese,3
Aanya,Female,56,바둑,english,chinese,3
Aanyah,Female,44,필라테스,spanish,japanese,1
Aaqib,Male,42,환경 보호 활동,french,english,3
Aara,Male,44,인테리어 디자인,japanese,english,1
Aaralyn,Male,27,암호화폐,chinese,japanese,3
Aaralynn,Male,53,해킹,korean,arabic,3
Aaran,Female,36,미술 클래스 참가,japanese,spanish,3
Aarav,Female,69,만화 보기,french,arabic,1
Aaren,Female,31,춤추기,french,spanish,3
Aaren,Female,8,메이커 운동,french,japanese,3
Aareon,Female,51,비건 생활,arabic,chinese,3
Aareona,Female,6,제로 웨이스트 라이프스타일,japanese,english,3
Aaria,Male,25,베이킹,arabic,spanish,2
Aariah,Male,40,R&B 음악 감상,korean,french,3
Aarian,Female,68,농구 응원,french,chinese,3
Aariana,Female,59,시 쓰기,spanish,arabic,3
Aarianna,Female,55,언어 교환,arabic,korean,2
Aarib,Female,40,보안 연구,japanese,spanish,1
Aaric,Male,38,BMX,japanese,spanish,1
Aariel,Male,21,보드게임,spanish,english,1
Aarik,Female,22,스케이트보드,english,spanish,2
Aarika,Male,25,비건 생활,chinese,korean,2
Aarilyn,Male,20,제로 웨이스트 라이프스타일,korean,french,3
Aarin,Female,46,보안 연구,chinese,arabic,2
Aarin,Male,53,미니멀리즘,spanish,chinese,2
Aarini,Female,22,체스,french,english,3
Aarion,Male,8,제로 웨이스트 라이프스타일,spanish,english,2
Aariona,Female,38,요가,spanish,english,1
Aarionna,Male,54,요가,japanese,spanish,3
Aarish,Female,22,사진 찍기,japanese,chinese,2
Aarit,Male,25,3D 프린팅,korean,french,1
Aariv,Female,55,가상 현실,japanese,arabic,2
Aariya,Female,24,팝 음악 감상,english,chinese,3
Aariyah,Male,47,모터스포츠,english,arabic,1
Aariz,Male,54,블록체인,english,arabic,2
Aarna,Male,61,사진 찍기,arabic,french,1
Aarnav,Female,5,빈티지 수집,japanese,arabic,3
Aarnavi,Female,70,등산,english,chinese,1
Aarohi,Female,57,스케이트보드,french,spanish,2
Aaron,Female,23,피아노 연주,japanese,chinese,1
Aaron,Female,41,모터스포츠,french,japanese,1
Aaronjames,Male,31,여행,spanish,korean,1
Aarron,Female,9,바둑,korean,arabic,2
Aarti,Male,9,스탬프 수집,french,english,2
Aarush,Male,8,보안 연구,chinese,japanese,1
Aarushi,Female,49,모터스포츠,arabic,french,3
Aarya,Male,47,동물 돌보기,japanese,arabic,3
Aarya,Female,48,농구 응원,french,spanish,1
Aaryan,Male,9,산악 자전거,spanish,english,2
Aaryana,Male,31,메이커 운동,chinese,french,3
Aaryanna,Male,39,여행,arabic,spanish,2
Aaryav,Female,6,드럼 치기,spanish,korean,1
Aaryn,Female,52,암벽 등반,japanese,spanish,1
Aaryn,Male,22,뮤지컬 보기,arabic,japanese,1
Aasha,Female,22,패들보드,english,chinese,3
Aashi,Female,47,농구 응원,spanish,french,1
Aashir,Male,75,보드게임,chinese,french,1
Aashka,Female,32,자원 봉사,korean,chinese,1
Aashna,Male,6,커피 추출,spanish,korean,2
Aashni,Female,46,여행,korean,english,2
Aashrith,Female,62,증강 현실,arabic,english,1
Aashritha,Female,27,드론 조종,french,spanish,1
Aashvi,Male,46,우주 탐사,english,korean,1
Aasia,Female,41,코인 수집,japanese,english,1
Aasim,Male,35,BMX,english,japanese,1
Aasir,Male,73,등산,english,korean,3
Aasiya,Female,26,투자 및 주식,korean,spanish,2
Aasiyah,Male,67,춤추기,chinese,spanish,2
Aastha,Female,53,마라톤,japanese,english,1
Aaven,Male,37,베이킹,japanese,french,3
Aayan,Female,28,비건 생활,arabic,spanish,3
Aayanah,Female,22,스케이트보드,korean,chinese,2
Aayanna,Male,64,스카이다이빙,korean,japanese,3
Aayden,Male,65,노래하기,chinese,spanish,1
Aayla,Female,39,재즈 음악 감상,french,chinese,3
Aayush,Female,57,보안 연구,japanese,chinese,2
Aayushi,Male,8,언어 학습,korean,chinese,3
Ab,Female,38,농구,french,korean,2
Abad,Male,6,명상,chinese,spanish,3
Abagael,Female,35,전자 음악 감상,spanish,korean,2
Abagail,Male,64,오토바이 타기,chinese,japanese,3
Abagale,Male,30,요리 클래스 참가,french,japanese,2
Abagayle,Female,48,배드민턴,english,japanese,3
Abaigeal,Female,68,춤추기,english,chinese,2
Aban,Male,31,춤추기,chinese,japanese,3
Abanoub,Female,6,드론 조종,japanese,arabic,3
Abas,Male,39,새 관찰,japanese,korean,2
Abbagail,Male,37,사진 찍기,korean,french,1
Abbagale,Male,38,커피 추출,spanish,korean,2
Abbagayle,Male,29,베이킹,spanish,chinese,2
Abbas,Male,55,캠핑,arabic,japanese,1
Abbe,Female,25,작문 클래스 참가,chinese,english,2
Abbee,Female,8,새 관찰,chinese,french,3
Abbegail,Male,7,새 관찰,korean,japanese,2
Abbegale,Female,45,문화 탐구,japanese,french,2
Abbey,Male,50,서핑,arabic,english,3
Abbeygail,Female,34,와인 시음,english,french,1
Abbi,Female,79,요가,japanese,arabic,2
Abbie,Male,40,요리 클래스 참가,korean,english,2
Abbiegail,Male,76,농구,english,arabic,2
