User_ID,이름,성별,연령대,자기 소개,모국어,외국어,외국어 수준
1,Teodora,남,0대,지리학,korean,arabic,상
2,Koralynn,남,20대,바둑,spanish,english,하
3,Ryin,여,40대,필라테스,spanish,korean,상
4,Gizele,여,40대,패러글라이딩,english,chinese,중
5,Jahnvi,여,20대,메탈 음악 감상,japanese,arabic,상
6,Kimberli,남,60대,배드민턴,spanish,chinese,중
7,Tymere,남,40대,투자 및 주식,japanese,english,상
8,Trelynn,남,50대,환경 보호 활동,korean,english,상
9,Nazariyah,남,20대,블록체인,korean,arabic,중
10,Neomi,남,20대,영화 감상,french,korean,하
11,Brighid,남,0대,다이빙,spanish,japanese,하
12,Johnthomas,여,20대,보안 연구,korean,english,상
13,Meher,여,60대,로프 클라이밍,english,french,하
14,Zaliyah,여,50대,모터스포츠,chinese,spanish,상
15,Fatemah,남,50대,패러글라이딩,korean,english,중
16,Delylah,여,0대,코인 수집,chinese,arabic,상
17,Aerionna,남,50대,언어 교환,spanish,french,중
18,Zyaira,여,50대,기타 연주,english,spanish,중
19,Dalayla,남,60대,개인 금융 관리,chinese,english,상
20,Armad,남,30대,영화 감상,english,japanese,상
21,Khloemae,남,20대,차 시음,chinese,japanese,상
22,Benhur,여,20대,팝 음악 감상,french,chinese,하
23,Jency,남,30대,지속 가능한 생활,korean,arabic,상
24,Marilin,여,30대,오페라 감상,english,chinese,상
25,Kuzey,여,50대,카약,japanese,arabic,하
26,Creek,남,0대,명상,english,korean,하
27,Makaih,여,40대,축구 응원,arabic,french,상
28,Nicolis,남,60대,시 쓰기,french,arabic,상
29,Nuno,남,30대,농구 응원,english,french,하
30,Analena,남,20대,산악 자전거,chinese,english,중
31,Nayleen,남,30대,동물 보호 활동,english,arabic,하
32,Arlene,여,20대,화초 돌보기,korean,english,하
33,Hadara,남,30대,피아노 연주,chinese,arabic,중
34,Angelika,남,40대,비건 생활,chinese,french,상
35,Veda,남,30대,언어 교환,korean,french,상
36,Lashaun,남,30대,연극 보기,spanish,japanese,중
37,Jazaria,여,30대,암벽 등반,english,japanese,중
38,Amoura,여,40대,암호화폐,french,arabic,중
39,Musashi,여,60대,암벽 등반,korean,spanish,하
40,Betzalel,남,30대,R&B 음악 감상,french,english,상
41,Tobey,여,20대,인테리어 디자인,french,arabic,하
42,Esther,여,30대,비건 생활,chinese,spanish,상
43,Kaydn,여,30대,DIY 프로젝트,arabic,french,중
44,Kasiya,남,40대,지리학,japanese,korean,중
45,Elvina,여,50대,카누,english,french,상
46,Airiana,여,40대,번지점프,english,spanish,중
47,Daileen,여,20대,보안 연구,french,chinese,하
48,Maci,여,30대,환경 보호 활동,japanese,spanish,중
